Judge ID,Race or Ethnicity,Gender,Court Type
3055,White,Male,U.S. District Court
2113,White,Male,U.S. District Court
3109,White,Male,U.S. District Court
3481,White,Male,U.S. District Court
3451,Asian American,Female,U.S. District Court
4268601,Asian American,Female,U.S. District Court
2825,White,Female,U.S. District Court
3587,White,Male,U.S. District Court
3168,White,Male,U.S. District Court
3399,White,Male,U.S. District Court
3189,African American,Female,U.S. District Court
4622996,White,Male,U.S. Court of Appeals
3084,White,Male,U.S. District Court
3229,White,Male,U.S. District Court
7049771,White,Male,U.S. District Court
3185,White,Female,U.S. District Court
4268606,White,Male,U.S. District Court
3359,White,Male,U.S. District Court
3527,Asian American,Male,U.S. District Court
3370,White,Male,U.S. District Court
3446,White,Male,U.S. District Court
2167,White,Male,U.S. District Court
3444,White,Male,U.S. District Court
3127,White,Male,U.S. Court of Appeals
3120,White,Male,U.S. District Court
3440,African American,Male,U.S. District Court
3467,White,Female,U.S. Court of Appeals
2752,White,Male,U.S. Court of Appeals
3378,White,Male,U.S. District Court
2993,White,Male,U.S. District Court
7465641,White,Male,U.S. District Court
7543926,Asian American,Male,U.S. District Court
2745,White,Male,U.S. District Court
3401,White,Male,U.S. District Court
2772,African American,Male,U.S. District Court
2213,White,Male,U.S. District Court
3519,White,Male,U.S. District Court
2948,African American,Male,U.S. Court of Appeals
6595041,African American,Male,U.S. District Court
2972,White,Male,U.S. District Court
2895,White,Female,U.S. District Court
3182,White,Male,U.S. District Court
2239,Hispanic,Male,U.S. District Court
3545,White,Male,U.S. District Court
3539,Hispanic/White,Male,U.S. District Court
2243,Hispanic,Female,U.S. District Court
3163,White,Male,U.S. Court of Appeals
3007,White,Female,U.S. District Court
3477,Asian American,Male,U.S. Court of Appeals
2957,White,Female,U.S. District Court
3291,White,Male,U.S. District Court
6840706,White,Male,U.S. District Court
3081,White,Male,U.S. District Court
3286,White,Female,U.S. District Court
2986,White,Male,U.S. District Court
3063,White,Male,U.S. District Court
2292,African American,Male,U.S. Court of Appeals
6840721,White,Male,U.S. District Court
3575,White,Male,U.S. District Court
3592,Hispanic,Female,U.S. Court of Appeals
2749,White,Male,U.S. District Court
3294,White,Female,U.S. Court of Appeals
3602,White,Male,U.S. District Court
4097796,White,Male,U.S. Court of Appeals
3186,White,Male,U.S. District Court
3149,White,Male,U.S. District Court
5197996,White,Male,U.S. District Court
3010,White,Male,U.S. Court of Appeals
2883,African American,Female,U.S. District Court
5153451,White,Male,U.S. District Court
3074,White,Female,U.S. Court of Appeals
2870,White,Male,U.S. Court of Appeals
3531,Asian American/White,Female,U.S. District Court
3462,White,Male,U.S. Court of Appeals
5019311,White,Female,U.S. District Court
3423,White,Female,U.S. Court of Appeals
3166,Asian American,Male,U.S. District Court
3430,White,Male,U.S. District Court
2367,White,Male,U.S. Court of Appeals
2371,African American,Male,U.S. District Court
3233,African American,Female,U.S. Court of Appeals
2748,White,Male,U.S. District Court
3457,White,Male,U.S. District Court
2392,White,Male,U.S. District Court
3469,African American/Hispanic,Female,U.S. District Court
3390,White,Female,U.S. District Court
5198501,White,Male,U.S. District Court
3357,White,Female,U.S. District Court
7544351,White,Male,U.S. District Court
3285,White,Male,U.S. District Court
6445071,White,Male,U.S. District Court
3535,White,Male,U.S. District Court
2871,African American,Female,U.S. District Court
2421,White,Male,U.S. District Court
2991,White,Male,U.S. Court of Appeals
2826,White,Male,U.S. District Court
2433,White,Female,U.S. District Court
3374,White,Male,U.S. District Court
3100,White,Male,U.S. District Court
2451,White,Male,U.S. District Court
2453,White,Female,U.S. District Court
7504281,White,Male,U.S. Court of Appeals
2984,White,Male,U.S. District Court
3600,Hispanic/White,Male,U.S. District Court
2456,Hispanic,Female,U.S. District Court
3221,White,Male,U.S. District Court
3596,White,Male,U.S. District Court
6455091,White,Female,U.S. District Court
7223871,White,Male,U.S. District Court
7545456,White,Female,U.S. District Court
7263221,White,Male,U.S. District Court
5375111,White,Male,U.S. District Court
3447,White,Male,U.S. District Court
2501,Hispanic,Female,U.S. District Court
3431,African American,Male,U.S. Court of Appeals
3101,White,Male,U.S. District Court
3470,Asian American/Pacific Islander,Male,U.S. District Court
3079,White,Male,U.S. District Court
3501,White,Female,U.S. District Court
