name,children__name,children__children__name,children__children__size,children__children__children__name,children__children__children__children__size,children__children__children__size
,,,,,,Victoria Roberts 
,,,,,,Wilhelmina Wright 
,,,,,African American/Hispanic,Analisa Torres 
,,,,,African American/White,Wendy Beetlestone 
,,,,,American Indian,Diane Humetewa 
,,,,,Asian American,Dolly Gee 
,,,,,,Jacqueline Nguyen 
,,,,,,Jill Otake
,,,,,,Karen Scholer
,,,,,,Kiyo Matsumoto 
,,,,,,Leslie Kobayashi 
,,,,,,Lorna Schofield 
,,,,,,Lucy Koh 
,,,,,,Martha Pacold
,,,,,,Miranda Du 
,,,,,,Pamela Chen 
,,,,,,Susan Mollway 
,,,,,Asian American/Hispanic,Cathy Bissoon 
,,,,,Asian American/White,Indira Talwani 
,,,,,Hispanic,Aida Delgado-Col›n 
,,,,,,Alia Moses 
,,,,,,Carmen Cerezo 
,,,,,,Cecilia Altonaga 
,,,,,,Christine Arguello 
,,,,,,Diana Salda?a 
,,,,,,Dora Irizarry 
,,,,,,Esther Salas 
,,,,,,Gloria Navarro 
,,,,,,Hilda Tagle 
,,,,,,Irma Gonzalez 
,,,,,,Judith Herrera 
,,,,,,Kathleen Cardone 
,,,,,,Kim Wardlaw 
,,,,,,Lenore Nesbitt 
,,,,,,Lourdes Baird 
,,,,,,M. Armijo 
,,,,,,Marcia Howard 
,,,,,,Marina Garcia Marmolejo 
,,,,,,Martha Vÿzquez 
,,,,,,Mary Murguia 
,,,,,,Micaela Alvarez 
,,,,,,Nelva Ramos 
,,,,,,Nitza Qui?ones Alejandro 
,,,,,,Rosemary Mÿrquez 
,,,,,,Sonia Sotomayor 
,,,,,,Virginia Covington 
,,,,,,Yvonne Rogers 
,,,,,White,Aleta Trauger 
,,,,,,Alice Batchelder 
,,,,,,Alicemarie Stotler 
,,,,,,Alison Nathan 
,,,,,,Allison Burroughs 
,,,,,,Allyne Ross 
,,,,,,Amy Jackson 
,,,,,,Amy St. Eve 
,,,,,,Amy Totenberg 
,,,,,,Anita Brody 
,,,,,,Ann Aiken 
,,,,,,Ann Aldrich 
,,,,,,Ann Donnelly 
,,,,,,Ann Montgomery 
,,,,,,Anna Brown 
,,,,,,Anne Conway 
,,,,,,Annemarie Axon
,,,,,,Audrey Fleissig 
,,,,,,Barbara Caulfield 
,,,,,,Barbara Crabb 
,,,,,,Barbara Hackett 
,,,,,,Barbara Jones 
,,,,,,Barbara Lynn 
,,,,,,Barbara Rothstein 
,,,,,,Beryl Howell 
,,,,,,Beth Bloom 
,,,,,,Beth Freeman 
,,,,,,Beverly Martin 
,,,,,,Beverly OConnell 
,,,,,,Brenda Sannes 
,,,,,,Bruce Hendricks 
,,,,,,Burnita Matthews 
,,,,,,Callie Granade 
,,,,,,Cameron Currie 
,,,,,,Carol Amon 
,,,,,,Carol Mansmann 
,,,,,,Carolyn Dimmick 
,,,,,,Catherine Blake 
,,,,,,Catherine Eagles 
,,,,,,Catherine Perry 
,,,,,,Cathy Bencivengo 
,,,,,,Cathy Seibel 
,,,,,,Christina Reiss 
,,,,,,Christina Snyder 
,,,,,,Cindy Jorgenson 
,,,,,,Claire Cecchi 
,,,,,,Claire Eagan 
,,,,,,Claria Boom
,,,,,,Claudia Wilken 
,,,,,,Colleen Kollar-Kotelly 
,,,,,,Colleen McMahon 
,,,,,,Cornelia Kennedy 
,,,,,,Cynthia Bashant 
,,,,,,Cynthia Hall 
,,,,,,Cynthia Rufe 
,,,,,,Dabney Friedrich
,,,,,,Dale Fischer 
,,,,,,Deborah Chasanow 
,,,,,,Denise Cote 
,,,,,,Diana Murphy 
,,,,,,Donetta Ambrose 
,,,,,,Edith Clement 
,,,,,,Elaine Bucklo 
,,,,,,Elizabeth Dillon 
,,,,,,Elizabeth Foote 
,,,,,,Elizabeth Hallanan 
,,,,,,Elizabeth Kovachevich 
,,,,,,Elizabeth Wolford 
,,,,,,Ellen Burns 
,,,,,,Ellen Hollander 
,,,,,,Ellen Huvelle 
,,,,,,Elsijane Roy 
,,,,,,Emily Marks
,,,,,,Faith Hochberg 
,,,,,,Fern Smith 
,,,,,,Florence-Marie Cooper 
,,,,,,Frank Hull 
,,,,,,Freda Wolfson 
,,,,,,Gene Pratter 
,,,,,,Gina Groh 
,,,,,,Gladys Kessler 
,,,,,,Helen Berrigan 
,,,,,,Helen Frye 
,,,,,,Helen Gillmor 
,,,,,,Holly Brady
,,,,,,Holly Teeter
,,,,,,Ilana Rovner 
,,,,,,Inge Johnson 
,,,,,,Irene Keeley 
,,,,,,Jane Boyle 
,,,,,,Jane Magnus-Stinson 
,,,,,,Jane Milazzo 
,,,,,,Jane Roth 
,,,,,,Janet Arterton 
,,,,,,Janet Hall 
,,,,,,Janet Neff 
,,,,,,Janis Jack 
,,,,,,Janis Sammartino 
,,,,,,Jean Hamilton 
,,,,,,Jeanne Scott 
,,,,,,Jennifer Coffman 
,,,,,,Jennifer Dorsey 
,,,,,,Jennifer Wilson
,,,,,,Jennifer Zipps 
,,,,,,Jill Parrish 
,,,,,,Joan Azrack 
,,,,,,Joan Ericksen 
,,,,,,Joan Gottschall 
,,,,,,Joan Lefkow 
,,,,,,Joan Lenard 
,,,,,,Joanna Seybert 
,,,,,,Jodi Dishman
,,,,,,Josephine Staton 
,,,,,,Joy Conti 
,,,,,,Joyce Green 
,,,,,,Judith Keep 
,,,,,,Judith Levy 
,,,,,,Julia Gibbons 
,,,,,,Julie Carnes 
,,,,,,June Green 
,,,,,,Karen Caldwell 
,,,,,,Karen Henderson 
,,,,,,Karen Marston
,,,,,,Karen Schreier 
,,,,,,Kari Dooley
,,,,,,Karin Immergut
,,,,,,Karon Bowdre 
,,,,,,Katharine Hayden 
,,,,,,Katherine Failla 
,,,,,,Katherine Forrest 
,,,,,,Kathleen OMalley 
,,,,,,Kathleen Williams 
